id,name,city,cuisine_style
686,O Q de Poule,Paris,French
687,Noglu Confectionery - Angyalfoldi ut,Budapest,Healthy
688,Chez Leon,Paris,French
689,C Sushi,Lyon,Japanese
690,Marquis of Wellington,London,Bar
691,Bar Stazione M.M. Lambrate,Milan,Mediterranean
692,Ai Cham,Paris,Lebanese
693,El Patio,Rome,Italian
694,Henry Am Zug,Vienna,European
695,Le Berger,Paris,French
696,Collonut,Barcelona,Spanish
697,Oi Sushi,Paris,Japanese
698,Fischclub,Hamburg,German
699,Ristorante La Glorietta,Rome,Italian
700,Lubin,Vienna,Seafood
701,Cocina Cayena Cooking & Business,Madrid,Spanish
702,Terraco Rui Paula,Lisbon,European
703,Trattoria Rucola,Warsaw,Italian
704,Il Forno Italiano,Stockholm,Italian
705,Cooperage,London,Bar
706,U Barbary,Prague,European
707,Tai Thu Traitteur,Lyon,Asian
708,Arrosto,Prague,Italian
709,Friend Circle,Milan,Chinese
710,Guinea Grill,London,Steakhouse
711,Pizza Muffin,Krakow,Italian
712,KFC Andel,Prague,American
713,Hospoda U Kruhu,Prague,Czech
714,l'Angolo Del Vegetariano,Milan,Italian
715,Kees,Amsterdam,European
716,Mirash Tandoori,London,Indian
717,Orient Kitchen,Brussels,Chinese
718,The Knights Templar,London,Bar
719,Sushi6,Paris,Japanese
720,The Vincent Rooms,London,European
721,Natuurlijk bij Irina,Amsterdam,European
722,Monna Isa,Geneva,Vegetarian Friendly
723,Kavarna Na Hradcanskem Namesti,Prague,Cafe
724,Griffin,London,Seafood
725,Pitsu,London,Italian
726,Shanghai Noodle,Amsterdam,Chinese
727,Pizzeria Ciao,Madrid,Pizza
728,passage de pondichery,Paris,Indian
729,Sly's Coffee & Bar,Budapest,Cafe
730,BestCeler,Prague,European
731,Sushi Sano,Munich,Japanese
732,Cabana Cafe,Dublin,Irish
733,Bengal Tiger,London,Indian
734,Pizzeria 4 Stagioni,Milan,Italian
735,El Guindilla del Born,Barcelona,Bar
736,imm Thai Fusion Wimbledon,London,Asian
737,Taberna El Papelon,Barcelona,Bar
738,La Maison d'Asie,Geneva,Asian
739,Restarurante El Embarcadero,Madrid,Steakhouse
740,Itsu,London,Japanese
741,Ristorante La Capitale,Rome,Italian
742,Taverna Patriot,Prague,European
743,Neu Helgoland,Berlin,German
744,Yuko,Oporto,European
745,Anna & Jagetsberger,Vienna,Vegetarian Friendly
746,Miss Clara by Nobis,Stockholm,European
747,Kavarna Macek,Ljubljana,Bar
748,The Harrow,London,Bar
749,La Boveda 78,Madrid,Spanish
750,Chasse Grand Cafe,Amsterdam,International
751,La Carezza Pizzeria Ristorante,Prague,Pizza
752,Alex Grill,Vienna,Pub
753,"Weinberg,Weinhandlung und Weinbar",Berlin,Wine Bar
754,Wok'Up,Paris,Chinese
755,Tapy Y Toro,Warsaw,Spanish
756,Shrimpy Markets,London,Seafood
757,Pizzeria Pommmodoro,Rome,Italian
758,Sayuri,Berlin,Seafood
759,Cafetaria Mensagem,Lisbon,European
760,The Coral Room,London,Bar
761,Trattoria da Antonio,Warsaw,Italian
762,La Cocina de San Anton,Madrid,Mediterranean
763,Amma,Berlin,Singaporean
764,Byron Strand,London,American
765,Cafe D Aujourd Hui,Paris,French
766,Caprera,Rome,Italian
767,Gandhi Palace,Lisbon,Indian
768,El Septimo,Madrid,Spanish
769,Rody Boland,Dublin,Irish
770,Subway Cafe,Milan,Italian
771,The Canary,London,European
772,Lebon L'Authentique Casse-croute,Paris,French
773,Le Jardin Imperial,Brussels,Chinese
774,Rosso Papillon,Rome,Italian
775,Freud Oriental,Athens,Japanese
776,Baking Lab Amsterdam,Amsterdam,Middle Eastern
777,Szorp,Budapest,Cafe
778,Piwnica pod Kominkiem,Krakow,Polish
779,Besedni Restaurace,Prague,European
780,Ceviche Old St,London,Peruvian
781,Le Pavillon,Brussels,French
782,Meson Castellano,Barcelona,Bar
783,San Thai,Warsaw,Thai
784,Los Platitos,Barcelona,Italian
785,Old Fashion Bar,Zurich,European
786,Aux Saveurs du Marche,Paris,French
787,Au Bord de l'Eau,Lyon,French
788,Toto & Malta,Hamburg,Italian
789,Honest Burgers - Old St,London,Fast Food
790,THE DUCHESS,Amsterdam,French
791,Red Cafe Prague,Prague,European
792,madpizza Santa Justa,Lisbon,Pizza
793,La Porchetta,London,Italian
794,India Gate,Paris,Indian
795,Anastasia,Berlin,German
796,Mr. Pepper,Oporto,International
797,Cottons Shoreditch,London,Caribbean
798,Organic Piadina,Barcelona,Italian
799,Eva & Olga of Evohe Barcelona,Barcelona,Spanish
800,U Prezidentu,Prague,European
801,Sushi Bar,Paris,Japanese
802,Le Relais de la Bucherie,Paris,French
803,Mamichou,Paris,French
804,Exodos Cafe Bar Restaurant,Berlin,Greek
805,TriCiclo,Madrid,Mediterranean
806,Warsaw Potato,Warsaw,Polish
807,Sushi-Wok at Checkpoint Charlie,Berlin,Chinese
808,Oost pizza pasta,Amsterdam,Italian
809,Major Grubert,Berlin,French
810,Nova Peixaria,Lisbon,European
811,El Nando,Paris,Spanish
812,Caffe Belsito,Rome,Italian
813,L'Emulsion,Lyon,French
814,Jin-Da,London,Thai
815,The Granary,Edinburgh,Bar
816,Mook Pancakes,Amsterdam,Dutch
817,Bar Le Rouge Marine,Paris,French
818,Meer & Mehr,Berlin,Seafood
819,Restaurant Szmulewicz,Amsterdam,Dutch
820,Forn de pa Cafeteria,Barcelona,Cafe
821,Altberliner,Berlin,German
822,Two Boys Brew,Dublin,Cafe
823,The Beer Bock S.L,Barcelona,Spanish
824,Las Muns Raval,Barcelona,Delicatessen
825,Burnt Toast Cafe,London,Cafe
826,Le Scojo,Lyon,French
827,Piccola Ischia,Milan,Pizza
828,Restaurante Malecon,Madrid,Pub
829,Bar Casla,Madrid,Spanish
830,Belmondo,London,Italian
831,Tortilla Stratford,London,Mexican
832,Quase Cafe,Lisbon,Cafe
833,Beat Restaurant & Cafe,Prague,Italian
834,Nabrasa Express,London,Brazilian
835,Vino & Basilico,Berlin,Italian
836,Restaurant Palaegade,Copenhagen,European
837,Vanilla Grey,Berlin,Cafe
838,Mamacita,Luxembourg,Mexican
839,Bar31,Munich,Bar
840,Le Terrasse de Pomone,Paris,French
841,Klubczyk,Krakow,Cafe
842,Valadouro,Madrid,Seafood
843,Docel,Lisbon,European
844,Lefteris Fish Tavern,Athens,Steakhouse
845,Indian Stories,Stockholm,Indian
846,Chuty's - Heart Of Asia,Ljubljana,Seafood
847,Aisha's Restaurant,London,Moroccan
848,La Cuccagnina,Milan,Italian
849,Bitzinger Wurstelstand Albertina,Vienna,German
850,La Laurea,Rome,Italian
851,Thai Thai,Warsaw,Asian
852,Le Lamarck Paris,Paris,French
853,Zhou's Five,Berlin,Asian
854,Mothers,Amsterdam,Dutch
855,Trattoria da Silvan,Rome,Italian
856,Osteria n. 1,Vienna,Italian
857,Bouchon Des Cordeliers,Lyon,French
858,Pizzeria Mona Mia,Berlin,Italian
859,Burro e Salvia,London,Italian
860,Brasserie l'olivia,Paris,French
861,Chez Duc,Paris,Asian
862,Pergola on the Roof,London,Fast Food
863,Beaver Brewing Company,Vienna,American
864,Vanilladu Cafe,Dublin,European
865,ANTANI,Brussels,Italian
866,Patio do Bairro,Lisbon,Mediterranean
867,Northfield House Hotel,Edinburgh,Bar
868,BaRRa de Pintxos Via Augusta,Barcelona,Mediterranean
869,Fabryka Lodow Tradycyjnych,Warsaw,Cafe
870,Da Ferdinando,Vienna,Italian
871,Trattoria la Vecchia Guardia,Milan,Italian
872,MA.GI. Bar,Rome,Italian
873,Party Pizza,Rome,Pizza
874,Puerta del Sol,Vienna,Mediterranean
875,Yo'Mo Lounge,Geneva,Lebanese
876,Saphir,Lyon,Mediterranean
877,Dom Cafe,Milan,Bar
878,Mr Nicks,Edinburgh,Fast Food
879,Amfora,Prague,European
880,Gousia Tandoori,London,Indian
881,El Raco De Gracia,Barcelona,Spanish
882,Amurg,London,Eastern European
883,Gyros Pizza,Prague,Pizza
884,The Burger Lobby,Madrid,American
885,My Baar,Paris,French
886,Goa Tandoori Restaurant,Hamburg,Indian
887,Taberna del Volapie Diego de Leon,Madrid,Mediterranean
888,Cafe Rive Droite,Paris,French
889,QUAY,Oporto,Sushi
890,Nando's,London,European
891,Parfait Restaurant,Budapest,European
892,L'Atelier Charonne,Paris,French
893,Pepere Jean,Paris,Bar
894,BROT AB,Stockholm,Cafe
895,Ruby Marie Bar,Vienna,Bar
896,L'Escamarla Restaurant,Barcelona,Spanish
897,Restaurant Rudolph,Hamburg,German
898,Restaurante Tronco,Lisbon,Portuguese
899,Cervejaria Marisqueira Camoes,Lisbon,Seafood
900,Mexico Lindo,Berlin,Mexican
901,Cup & Glass,Krakow,Cafe
902,Slunecnice,Prague,European
903,Red Chilli,London,Indian
904,Le Sicilianedde,Rome,Italian
905,Huguette Maison de famille,Paris,Vegetarian Friendly
906,Faanoos - Chiswick,London,Middle Eastern
907,BrewEat,Rome,Italian
908,Osteria Bacaro,Munich,Bar
909,Plata,Ljubljana,Italian
910,Restaurant La Quintessence,Lyon,French
911,Salero,Athens,Mediterranean
912,Yield N16,London,Bar
913,Boca Grande Das Restaurant,Zurich,Italian
914,Pizza Bella,Brussels,Italian
915,Saucy,London,Italian
916,Brazier Wine Bar,Lyon,French
917,Restauracja Bialy Domek,Warsaw,Polish
918,Paprika Gourmet,Barcelona,American
919,Chez Bo,Zurich,French
920,L'Atelier de Joel Robuchon,London,French
921,Waterfront London,London,Chinese
922,Le Petit Cler,Paris,French
923,Hattori,Stockholm,Japanese
924,Arrosticino Pane & Vino,Rome,Italian
925,Quinsou,Paris,French
926,The Queen Adelaide,London,Bar
927,Kawiarnia i Delikatesy Sw. Benedykta,Warsaw,Polish
928,Wientalstruberl,Vienna,Austrian
929,Brasserie Kamp,Helsinki,European
930,YAMAS,Zurich,Mediterranean
931,Potasia 2.0,Munich,Asian
932,Steffan 1929,Milan,Italian
933,Koetsu,Paris,Japanese
934,The Dawson,Dublin,French
935,Vineria del Este,Berlin,Spanish
936,Agustarello,Rome,Mediterranean
937,Tito Ristorante-Pizzeria,Rome,Italian
938,Magasasa,Copenhagen,Chinese
939,Pim Pam Burger,Barcelona,American
940,The Windsor Castle,London,Bar
941,Alt Wiener Salon,Vienna,Austrian
942,Usmania Grill Restaurant,London,Lebanese
